"Date","Price","Open","High","Low","Vol.","Change %"
"02/22/2024","95.70","95.00","95.75","95.00","0.02K","0.47%"
"02/21/2024","95.25","95.25","95.25","95.25","","0.74%"
"02/20/2024","94.55","94.55","94.55","94.55","0.01K","0.16%"
"02/19/2024","94.40","94.40","94.40","94.40","0.00K","-0.11%"
"02/16/2024","94.50","94.50","94.50","94.50","0.00K","0.05%"
"02/15/2024","94.45","94.45","94.45","94.45","0.02K","0.69%"
"02/14/2024","93.80","93.50","93.50","93.50","0.01K","-0.32%"
"02/13/2024","94.10","94.50","94.50","94.25","0.05K","-0.42%"
"02/12/2024","94.50","94.25","94.25","94.25","0.02K","-1.56%"
"02/09/2024","96.00","95.90","95.90","95.90","0.05K","-1.69%"
"02/08/2024","97.65","98.20","98.20","97.90","0.00K","-0.96%"
"02/07/2024","98.60","99.25","99.25","97.50","0.12K","0.00%"
"02/06/2024","98.60","97.75","97.75","97.75","0.02K","0.46%"
"02/05/2024","98.15","98.00","99.00","98.00","0.02K","-0.25%"
"02/02/2024","98.40","98.20","98.70","98.20","0.01K","1.13%"
"02/01/2024","97.30","98.90","98.90","97.80","0.06K","-2.31%"
"01/31/2024","99.60","97.20","99.75","97.20","0.20K","3.59%"
"01/30/2024","96.15","94.20","95.70","94.20","0.11K","1.96%"
"01/29/2024","94.30","95.00","95.50","94.70","0.16K","-11.04%"
"01/26/2024","106.00","105.75","105.75","105.75","0.00K","0.38%"
"01/25/2024","105.60","105.60","105.60","105.60","0.00K","-0.19%"
"01/24/2024","105.80","105.80","105.80","105.80","","0.28%"
"01/23/2024","105.50","105.50","105.50","105.50","0.03K","0.14%"
"01/22/2024","105.35","104.75","105.50","104.75","0.00K","-0.61%"
"01/19/2024","106.00","104.00","106.00","104.00","0.04K","-0.98%"
"01/18/2024","107.05","107.10","107.10","107.10","0.04K","-0.05%"
"01/17/2024","107.10","107.00","107.15","107.00","0.06K","-0.60%"
"01/16/2024","107.75","107.85","108.00","107.40","0.05K","0.23%"
"01/15/2024","107.50","107.25","107.25","107.25","0.02K","-1.19%"
"01/12/2024","108.80","108.50","108.50","108.50","0.02K","2.16%"
"01/11/2024","106.50","108.00","108.00","106.50","0.03K","-2.29%"
"01/10/2024","109.00","109.00","109.00","109.00","0.11K","-2.02%"
"01/09/2024","111.25","111.65","111.65","111.00","0.07K","-1.72%"
"01/08/2024","113.20","112.55","113.75","112.55","0.09K","-2.41%"
"01/05/2024","116.00","113.65","116.50","112.65","0.10K","3.29%"
"01/04/2024","112.30","109.75","112.00","109.75","0.12K","3.07%"
"01/03/2024","108.95","106.00","109.00","106.00","0.20K","2.64%"
"01/02/2024","106.15","107.50","107.50","104.75","0.14K","-9.74%"
