"Date","Price","Open","High","Low","Vol.","Change %"
"05/21/2024","5,046.99","5,064.87","5,064.87","5,026.07","24.69M","-0.54%"
"05/20/2024","5,074.34","5,060.62","5,079.04","5,060.62","24.05M","0.20%"
"05/17/2024","5,064.14","5,061.44","5,068.39","5,040.23","33.52M","-0.16%"
"05/16/2024","5,072.45","5,094.77","5,101.41","5,068.11","26.35M","-0.56%"
"05/15/2024","5,100.90","5,083.25","5,102.30","5,075.06","28.21M","0.41%"
"05/14/2024","5,080.29","5,079.37","5,083.55","5,057.94","35.58M","0.03%"
"05/13/2024","5,078.96","5,083.54","5,087.92","5,068.06","23.63M","-0.12%"
"05/10/2024","5,085.08","5,060.73","5,096.89","5,060.73","33.57M","0.61%"
"05/09/2024","5,054.41","5,019.32","5,057.23","5,013.77","24.10M","0.32%"
"05/08/2024","5,038.17","5,025.30","5,047.54","5,023.74","28.18M","0.44%"
"05/07/2024","5,016.10","4,969.82","5,016.71","4,967.81","29.59M","1.19%"
"05/06/2024","4,956.96","4,921.02","4,969.12","4,920.93","22.14M","0.73%"
"05/03/2024","4,920.95","4,917.05","4,946.05","4,896.45","","0.62%"
"05/02/2024","4,890.61","4,907.33","4,913.71","4,888.11","35.99M","-0.62%"
"05/01/2024","4,921.22","4,921.22","4,921.22","4,921.22","33.80M","0.00%"
"04/30/2024","4,921.22","4,985.54","4,988.12","4,916.57","33.80M","-1.20%"
"04/29/2024","4,981.09","5,014.22","5,026.82","4,980.42","28.18M","-0.51%"
"04/26/2024","5,006.85","4,950.22","5,017.98","4,950.22","26.65M","1.37%"
"04/25/2024","4,939.01","4,993.35","4,994.41","4,900.27","27.54M","-1.02%"
"04/24/2024","4,989.88","5,004.91","5,031.84","4,981.81","30.87M","-0.37%"
"04/23/2024","5,008.17","4,941.29","5,011.10","4,941.29","35.18M","1.44%"
"04/22/2024","4,936.85","4,921.04","4,954.18","4,913.70","28.70M","0.38%"
"04/19/2024","4,918.09","4,911.59","4,933.38","4,884.12","35.23M","-0.37%"
"04/18/2024","4,936.57","4,924.83","4,943.98","4,907.61","27.89M","0.46%"
"04/17/2024","4,914.13","4,918.73","4,968.41","4,898.90","22.79M","-0.06%"
"04/16/2024","4,916.99","4,962.15","4,962.15","4,899.41","27.87M","-1.35%"
"04/15/2024","4,984.48","4,969.00","5,034.73","4,969.00","24.47M","0.59%"
"04/12/2024","4,955.01","4,986.03","5,023.90","4,935.03","27.78M","-0.23%"
"04/11/2024","4,966.68","4,994.15","5,010.09","4,934.40","30.61M","-0.68%"
"04/10/2024","5,000.83","5,006.50","5,037.18","4,951.19","28.80M","0.20%"
"04/09/2024","4,990.90","5,038.73","5,038.73","4,981.23","24.10M","-1.09%"
"04/08/2024","5,046.05","5,012.02","5,053.00","5,005.31","19.82M","0.62%"
"04/05/2024","5,014.75","5,043.61","5,043.61","4,985.67","36.78M","-1.10%"
"04/04/2024","5,070.76","5,071.83","5,089.33","5,065.65","23.60M","0.03%"
"04/03/2024","5,069.25","5,047.80","5,071.20","5,046.23","27.23M","0.54%"
"04/02/2024","5,042.00","5,096.86","5,121.71","5,038.63","31.80M","-0.81%"
"03/28/2024","5,083.42","5,085.25","5,103.26","5,081.78","31.38M","0.03%"
"03/27/2024","5,081.74","5,063.27","5,095.11","5,063.27","25.29M","0.35%"
"03/26/2024","5,064.18","5,046.26","5,072.75","5,038.73","25.33M","0.40%"
"03/25/2024","5,044.19","5,029.25","5,051.47","5,013.60","22.82M","0.26%"
"03/22/2024","5,031.15","5,035.13","5,037.74","5,008.90","27.33M","-0.42%"
"03/21/2024","5,052.31","5,042.32","5,058.91","5,021.14","27.74M","1.04%"
"03/20/2024","5,000.31","4,991.37","5,009.13","4,980.95","23.45M","-0.15%"
"03/19/2024","5,007.92","4,979.06","5,007.92","4,976.37","27.40M","0.50%"
"03/18/2024","4,982.76","4,993.66","5,004.08","4,976.61","24.81M","-0.07%"
"03/15/2024","4,986.02","4,993.44","5,023.65","4,986.02","83.89M","-0.14%"
"03/14/2024","4,993.12","5,007.73","5,031.82","4,986.60","33.71M","-0.15%"
"03/13/2024","5,000.55","4,985.83","5,016.24","4,983.82","33.87M","0.35%"
"03/12/2024","4,983.20","4,937.76","4,985.10","4,926.21","33.57M","1.07%"
"03/11/2024","4,930.42","4,932.20","4,938.65","4,913.84","28.43M","-0.62%"
"03/08/2024","4,961.11","4,974.97","4,986.57","4,961.11","25.08M","-0.26%"
"03/07/2024","4,974.22","4,901.01","4,978.19","4,891.79","33.78M","1.19%"
"03/06/2024","4,915.49","4,890.84","4,920.57","4,889.58","31.10M","0.46%"
"03/05/2024","4,893.07","4,909.42","4,913.10","4,886.07","29.83M","-0.40%"
"03/04/2024","4,912.92","4,904.58","4,915.44","4,897.94","19.70M","0.37%"
"03/01/2024","4,894.86","4,888.58","4,904.85","4,874.03","36.36M","0.35%"
"02/29/2024","4,877.77","4,883.77","4,898.37","4,872.63","52.11M","-0.12%"
"02/28/2024","4,883.77","4,883.84","4,887.18","4,874.94","22.07M","-0.04%"
"02/27/2024","4,885.74","4,865.54","4,887.85","4,863.81","24.24M","0.44%"
"02/26/2024","4,864.29","4,865.87","4,870.43","4,859.49","25.39M","-0.17%"
"02/23/2024","4,872.57","4,857.41","4,881.66","4,850.32","28.69M","0.35%"
"02/22/2024","4,855.36","4,812.02","4,866.06","4,812.02","29.13M","1.68%"
"02/21/2024","4,775.31","4,761.24","4,782.56","4,756.68","27.02M","0.32%"
"02/20/2024","4,760.28","4,757.95","4,766.62","4,749.18","20.50M","-0.06%"
"02/19/2024","4,763.07","4,755.75","4,765.82","4,744.59","17.30M","-0.05%"
"02/16/2024","4,765.65","4,754.43","4,782.79","4,750.76","28.82M","0.47%"
"02/15/2024","4,743.17","4,713.78","4,749.27","4,713.78","26.28M","0.72%"
"02/14/2024","4,709.22","4,685.94","4,712.89","4,681.62","20.16M","0.43%"
"02/13/2024","4,689.28","4,746.46","4,746.46","4,671.99","22.71M","-1.20%"
"02/12/2024","4,746.35","4,720.30","4,746.35","4,720.30","21.60M","0.65%"
"02/09/2024","4,715.87","4,711.33","4,723.77","4,696.51","30.84M","0.11%"
"02/08/2024","4,710.78","4,687.21","4,720.78","4,682.83","26.95M","0.68%"
"02/07/2024","4,678.85","4,691.57","4,694.88","4,677.92","36.29M","-0.26%"
"02/06/2024","4,690.87","4,667.50","4,692.44","4,660.02","40.13M","0.76%"
"02/05/2024","4,655.27","4,656.05","4,667.40","4,638.33","41.76M","0.02%"
"02/02/2024","4,654.55","4,645.78","4,676.71","4,645.78","29.25M","0.34%"
"02/01/2024","4,638.60","4,641.94","4,656.52","4,619.48","38.36M","-0.21%"
"01/31/2024","4,648.40","4,659.87","4,674.74","4,642.69","36.66M","-0.31%"
